"points	Destinations	Distance from HU	Distance from HU on followed route	Order followed by route	Departure time"
"24	MP-Checkpost-2	10.4	10.4	1	7:09"
"25	KMDC-Nazimabad	12.1	23.3	6	7:12"
"25	Shadman	14.3	19.7	5	7:12"
"25	Haroon-Shopping 	13.8	17.6	4	7:12"
"25	Sarena-Chaurangi	14.2	17.2	3	7:12"
"25	Mateen-Foods	13.3	16	2	7:12"
"25	Centrum-Mall	9.6	9.6	1	7:12"
"26	Paposh-Qabristan		30.5	9	7:12"
"26	Abdullah-College		28.3	8	7:12"
"26	Intermediate-Board		26.2	7	7:12"
"26	AO-Clinic		22	6	7:12"
"26	Baqai-Hospital	29	19.7	5	7:12"
"26	Anu-Bhai-Stop	14	18.6	4	7:12"
"26	Nazimabad-Petrol-Pump	13	16.9	3	7:12"
"26	Rizvia	15	14.6	2	7:12"
"26	Sir-Syed-Nazimabad	15	14.3	1	7:12"
"27	Matric -Board-Office	15.7	22.3	7	7:15"
"27	KDA-Chaurangi	14	20.5	6	7:15"
"27	Dolmen-Mall-Hyderi	16	19.8	5	7:15"
"27	Hyderi-Market	13	19.5	4	7:15"
"27	Landi-Kotel	12	17.4	3	7:15"
"27	5-Star	13.5	10.7	2	7:15"
"27	Continental-Snacks	7.3	5.2	1	7:15"
"28	Ziauddin-Nazimabad	15	19	6	7:15"
"28	Usman-Memorial-Hussainabad 11	15.4	5	7:15"
"28	Karimabad	11	14.4	4	7:15"
"28	Aga-Khan-School-Ayesha-Manzil	16	13.6	3	7:15"
"28	Ayesha-Manzil	11	12.4	2	7:15"
"28	16-Number-Hospital	8.4	8.4	1	7:15"
"29	PPMA-Lawn	11.4	32.2	7	7:15"
"29	IRC-Imam-Bargah	10	28.8	6	7:15"
"29	Tahir-Villa	11	24.7	5	7:15"
"29	Gulberg-Chowrangi	10	22.5	4	7:15"
"29	Gulberg-Police-Station	11	21.5	3	7:15"
"29	Water-Pump-Signal	9.7	18.5	2	7:15"
"29	Ancholi 11	10.3	1	7:15"
"30	Comprehensive-Chowrangi 13	18.4	4	7:15"
"30	Javed-Nihari	9.6	17	3	7:15"
"30	Delhi-Sohail 	12	13.7	2	7:15"
"30	Peoples-Chowrangi	11	11.4	1	7:15"
"31	Gulshan-e-Shamim	8.7	28.5	6	7:18"
"31	Disco-Bakery	6.5	25.5	5	7:18"
"31	Paradise-Bakery	7.7	22.5	4	7:18"
"31	Shaikh-Zahid-University     6.7	15.9	3	7:18"
"31	Karachi-University	6.4	14.1	2	7:18"
